date,time,cluster_size,address,day_type
2023-04-11,21:00:00,1,"T4 Flyover, Changi, Southeast, 819645, Singapore",weekday
2023-04-11,21:00:00,1,"East Coast Parkway, Tampines, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,1,"East Coast Parkway, Changi, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,1,"T4 Crescent, Changi, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,1,"Changi Airport Connector, Changi, Southeast, 819658, Singapore",weekday
2023-04-11,21:00:00,2,"Changi Airport Connector, Changi, Southeast, 819658, Singapore",weekday
2023-04-11,21:00:00,1,"Car Park 4B, T4 Way, Changi, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,2,"Changi Airport Connector, Changi, Southeast, 819658, Singapore",weekday
2023-04-11,21:00:00,2,"Changi Airport Connector, Changi, Southeast, 819658, Singapore",weekday
2023-04-11,21:00:00,1,"Car Park 4B, T4 Way, Changi, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,1,"Changi Airport Connector, Changi, Southeast, 819658, Singapore",weekday
2023-04-11,21:00:00,1,"Car Park 4B, T4 Way, Changi, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,1,"Changi Airport Connector, Changi, Southeast, 819658, Singapore",weekday
2023-04-11,21:00:00,6,"Changi Airport Aircraft Flyover, Airport Boulevard, Changi, Southeast, 819645, Singapore",weekday
2023-04-11,21:00:00,1,"T4 Departure Drive, Changi, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,1,"Airport Boulevard, Changi, Southeast, 819645, Singapore",weekday
2023-04-11,21:00:00,1,"Car Park 4B, T4 Way, Changi, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,1,"Changi Airport Connector, Changi, Southeast, 819658, Singapore",weekday
2023-04-11,21:00:00,2,"Car Park 4B, T4 Way, Changi, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,5,"T4 Departure Drive, Changi, Southeast, 819665, Singapore",weekday
2023-04-11,21:00:00,1,"Changi Airport Connector, Changi, Southeast, 819658, Singapore",weekday
